symbol,dll,export,lib
ACUIProviderInvokeUI,CRYPTUI.dll,ACUIProviderInvokeUI,cryptui.lib
ADsBuildEnumerator,ACTIVEDS.dll,4,ActiveDS.Lib
ADsBuildVarArrayInt,ACTIVEDS.dll,8,ActiveDS.Lib
ADsBuildVarArrayStr,ACTIVEDS.dll,7,ActiveDS.Lib
ADsDecodeBinaryData,ACTIVEDS.dll,24,ActiveDS.Lib
ADsEncodeBinaryData,ACTIVEDS.dll,20,ActiveDS.Lib
ADsEnumerateNext,ACTIVEDS.dll,6,ActiveDS.Lib
ADsFreeEnumerator,ACTIVEDS.dll,5,ActiveDS.Lib
ADsGetLastError,ACTIVEDS.dll,13,ActiveDS.Lib
ADsGetObject,ACTIVEDS.dll,3,ActiveDS.Lib
ADsOpenObject,ACTIVEDS.dll,9,ActiveDS.Lib
ADsPropCheckIfWritable,dsprop.dll,ADsPropCheckIfWritable,DSProp.Lib
ADsPropCreateNotifyObj,dsprop.dll,ADsPropCreateNotifyObj,DSProp.Lib
ADsPropGetInitInfo,dsprop.dll,ADsPropGetInitInfo,DSProp.Lib
ADsPropSendErrorMessage,dsprop.dll,ADsPropSendErrorMessage,DSProp.Lib
ADsPropSetHwnd,dsprop.dll,ADsPropSetHwnd,DSProp.Lib
ADsPropSetHwndWithTitle,dsprop.dll,ADsPropSetHwndWithTitle,DSProp.Lib
ADsPropShowErrorDialog,dsprop.dll,ADsPropShowErrorDialog,DSProp.Lib
ADsSetLastError,ACTIVEDS.dll,12,ActiveDS.Lib
AERT_Allocate,audioeng.dll,AERT_Allocate,audioeng.lib
AERT_Free,audioeng.dll,AERT_Free,audioeng.lib
AETraceOutputDebugString,MMDevAPI.DLL,13,mmdevapi.lib
AMGetErrorTextA,QUARTZ.dll,AMGetErrorTextA,quartz.lib
AMGetErrorTextW,QUARTZ.dll,AMGetErrorTextW,quartz.lib
ATQReleaseTCPPortReservation,NTDSATQ.dll,ATQReleaseTCPPortReservation,ntdsatq.lib
ATQReserveTCPPorts,NTDSATQ.dll,ATQReserveTCPPorts,ntdsatq.lib
AVIBuildFilter,AVIFIL32.dll,AVIBuildFilter,Vfw32.Lib
AVIBuildFilter,AVIFIL32.dll,AVIBuildFilter,avifil32.Lib
AVIBuildFilterA,AVIFIL32.dll,AVIBuildFilterA,Vfw32.Lib
AVIBuildFilterA,AVIFIL32.dll,AVIBuildFilterA,avifil32.Lib
AVIBuildFilterW,AVIFIL32.dll,AVIBuildFilterW,Vfw32.Lib
AVIBuildFilterW,AVIFIL32.dll,AVIBuildFilterW,avifil32.Lib
AVIClearClipboard,AVIFIL32.dll,AVIClearClipboard,Vfw32.Lib
AVIClearClipboard,AVIFIL32.dll,AVIClearClipboard,avifil32.Lib
AVIFileAddRef,AVIFIL32.dll,AVIFileAddRef,Vfw32.Lib
AVIFileAddRef,AVIFIL32.dll,AVIFileAddRef,avifil32.Lib
AVIFileCreateStream,AVIFIL32.dll,AVIFileCreateStream,Vfw32.Lib
AVIFileCreateStream,AVIFIL32.dll,AVIFileCreateStream,avifil32.Lib
AVIFileCreateStreamA,AVIFIL32.dll,AVIFileCreateStreamA,Vfw32.Lib
AVIFileCreateStreamA,AVIFIL32.dll,AVIFileCreateStreamA,avifil32.Lib
AVIFileCreateStreamW,AVIFIL32.dll,AVIFileCreateStreamW,Vfw32.Lib
AVIFileCreateStreamW,AVIFIL32.dll,AVIFileCreateStreamW,avifil32.Lib
AVIFileEndRecord,AVIFIL32.dll,AVIFileEndRecord,Vfw32.Lib
AVIFileEndRecord,AVIFIL32.dll,AVIFileEndRecord,avifil32.Lib
AVIFileExit,AVIFIL32.dll,AVIFileExit,Vfw32.Lib
AVIFileExit,AVIFIL32.dll,AVIFileExit,avifil32.Lib
AVIFileGetStream,AVIFIL32.dll,AVIFileGetStream,Vfw32.Lib
AVIFileGetStream,AVIFIL32.dll,AVIFileGetStream,avifil32.Lib
AVIFileInfo,AVIFIL32.dll,AVIFileInfo,Vfw32.Lib
AVIFileInfo,AVIFIL32.dll,AVIFileInfo,avifil32.Lib
AVIFileInfoA,AVIFIL32.dll,AVIFileInfoA,Vfw32.Lib
AVIFileInfoA,AVIFIL32.dll,AVIFileInfoA,avifil32.Lib
AVIFileInfoW,AVIFIL32.dll,AVIFileInfoW,Vfw32.Lib
AVIFileInfoW,AVIFIL32.dll,AVIFileInfoW,avifil32.Lib
AVIFileInit,AVIFIL32.dll,AVIFileInit,Vfw32.Lib
AVIFileInit,AVIFIL32.dll,AVIFileInit,avifil32.Lib
AVIFileOpen,AVIFIL32.dll,AVIFileOpen,Vfw32.Lib
AVIFileOpen,AVIFIL32.dll,AVIFileOpen,avifil32.Lib
AVIFileOpenA,AVIFIL32.dll,AVIFileOpenA,Vfw32.Lib
AVIFileOpenA,AVIFIL32.dll,AVIFileOpenA,avifil32.Lib
AVIFileOpenW,AVIFIL32.dll,AVIFileOpenW,Vfw32.Lib
AVIFileOpenW,AVIFIL32.dll,AVIFileOpenW,avifil32.Lib
AVIFileReadData,AVIFIL32.dll,AVIFileReadData,Vfw32.Lib
AVIFileReadData,AVIFIL32.dll,AVIFileReadData,avifil32.Lib
AVIFileRelease,AVIFIL32.dll,AVIFileRelease,Vfw32.Lib
AVIFileRelease,AVIFIL32.dll,AVIFileRelease,avifil32.Lib
AVIFileWriteData,AVIFIL32.dll,AVIFileWriteData,Vfw32.Lib
AVIFileWriteData,AVIFIL32.dll,AVIFileWriteData,avifil32.Lib
AVIGetFromClipboard,AVIFIL32.dll,AVIGetFromClipboard,Vfw32.Lib
AVIGetFromClipboard,AVIFIL32.dll,AVIGetFromClipboard,avifil32.Lib
AVIMakeCompressedStream,AVIFIL32.dll,AVIMakeCompressedStream,Vfw32.Lib
AVIMakeCompressedStream,AVIFIL32.dll,AVIMakeCompressedStream,avifil32.Lib
AVIMakeFileFromStreams,AVIFIL32.dll,AVIMakeFileFromStreams,Vfw32.Lib
AVIMakeFileFromStreams,AVIFIL32.dll,AVIMakeFileFromStreams,avifil32.Lib
AVIMakeStreamFromClipboard,AVIFIL32.dll,AVIMakeStreamFromClipboard,Vfw32.Lib
AVIMakeStreamFromClipboard,AVIFIL32.dll,AVIMakeStreamFromClipboard,avifil32.Lib
