symbol,dll,export,lib
#sqlite3_aggregate_context,winsqlite3.dll,sqlite3_aggregate_context,winsqlite3.lib
#sqlite3_aggregate_count,winsqlite3.dll,sqlite3_aggregate_count,winsqlite3.lib
#sqlite3_auto_extension,winsqlite3.dll,sqlite3_auto_extension,winsqlite3.lib
#sqlite3_backup_finish,winsqlite3.dll,sqlite3_backup_finish,winsqlite3.lib
#sqlite3_backup_init,winsqlite3.dll,sqlite3_backup_init,winsqlite3.lib
#sqlite3_backup_pagecount,winsqlite3.dll,sqlite3_backup_pagecount,winsqlite3.lib
#sqlite3_backup_remaining,winsqlite3.dll,sqlite3_backup_remaining,winsqlite3.lib
#sqlite3_backup_step,winsqlite3.dll,sqlite3_backup_step,winsqlite3.lib
#sqlite3_bind_blob,winsqlite3.dll,sqlite3_bind_blob,winsqlite3.lib
#sqlite3_bind_blob64,winsqlite3.dll,sqlite3_bind_blob64,winsqlite3.lib
#sqlite3_bind_double,winsqlite3.dll,sqlite3_bind_double,winsqlite3.lib
#sqlite3_bind_int,winsqlite3.dll,sqlite3_bind_int,winsqlite3.lib
#sqlite3_bind_int64,winsqlite3.dll,sqlite3_bind_int64,winsqlite3.lib
#sqlite3_bind_null,winsqlite3.dll,sqlite3_bind_null,winsqlite3.lib
#sqlite3_bind_parameter_count,winsqlite3.dll,sqlite3_bind_parameter_count,winsqlite3.lib
#sqlite3_bind_parameter_index,winsqlite3.dll,sqlite3_bind_parameter_index,winsqlite3.lib
#sqlite3_bind_parameter_name,winsqlite3.dll,sqlite3_bind_parameter_name,winsqlite3.lib
#sqlite3_bind_pointer,winsqlite3.dll,sqlite3_bind_pointer,winsqlite3.lib
#sqlite3_bind_text,winsqlite3.dll,sqlite3_bind_text,winsqlite3.lib
#sqlite3_bind_text16,winsqlite3.dll,sqlite3_bind_text16,winsqlite3.lib
#sqlite3_bind_text64,winsqlite3.dll,sqlite3_bind_text64,winsqlite3.lib
#sqlite3_bind_value,winsqlite3.dll,sqlite3_bind_value,winsqlite3.lib
#sqlite3_bind_zeroblob,winsqlite3.dll,sqlite3_bind_zeroblob,winsqlite3.lib
#sqlite3_bind_zeroblob64,winsqlite3.dll,sqlite3_bind_zeroblob64,winsqlite3.lib
#sqlite3_blob_bytes,winsqlite3.dll,sqlite3_blob_bytes,winsqlite3.lib
#sqlite3_blob_close,winsqlite3.dll,sqlite3_blob_close,winsqlite3.lib
#sqlite3_blob_open,winsqlite3.dll,sqlite3_blob_open,winsqlite3.lib
#sqlite3_blob_read,winsqlite3.dll,sqlite3_blob_read,winsqlite3.lib
#sqlite3_blob_reopen,winsqlite3.dll,sqlite3_blob_reopen,winsqlite3.lib
#sqlite3_blob_write,winsqlite3.dll,sqlite3_blob_write,winsqlite3.lib
#sqlite3_busy_handler,winsqlite3.dll,sqlite3_busy_handler,winsqlite3.lib
#sqlite3_busy_timeout,winsqlite3.dll,sqlite3_busy_timeout,winsqlite3.lib
#sqlite3_cancel_auto_extension,winsqlite3.dll,sqlite3_cancel_auto_extension,winsqlite3.lib
#sqlite3_changes,winsqlite3.dll,sqlite3_changes,winsqlite3.lib
#sqlite3_clear_bindings,winsqlite3.dll,sqlite3_clear_bindings,winsqlite3.lib
#sqlite3_close,winsqlite3.dll,sqlite3_close,winsqlite3.lib
#sqlite3_close_v2,winsqlite3.dll,sqlite3_close_v2,winsqlite3.lib
#sqlite3_collation_needed,winsqlite3.dll,sqlite3_collation_needed,winsqlite3.lib
